reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
392,Japan,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",769.000,Tons,62098.000,Tons,8118.000,Tons,24.505,Tons,6.000,Tons,43625.000,Tons,,Mixed,44901.000,Tons,81521.000,Tons,153468.000,Tons,96186.000,Tons,206184.000,Tons,18843.000,Tons,315371.000,Tons,,Mixed,282843.387,Tons,,Mixed,,Mixed,16.000,Tons,135353.000,Tons,150220.000,Tons,16.000,Tons,,Mixed,23.000,Tons
392,Japan,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,2.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,3.000,Tons,0.000,Tons,0.000,Tons,46484.000,Tons,3.000,Tons,11.000,Tons,4.000,Tons,13.000,Tons,13.000,Tons,13.000,Tons,16.000,Tons,26.000,Tons,33.000,Tons,15.000,Tons,31.000,Tons,21.000,Tons
392,Japan,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons
392,Japan,024,Angola,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,032,Argentina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,8.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,66912.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0,
392,Japan,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,Tons,0,,11.000,Tons,10.000,Tons,3.000,Tons,0.000,Tons,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.000,Cubic meters,0,
392,Japan,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0,,0,,,,0,,0,,0,,0,,0,,0,,0,
392,Japan,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,58030.000,Tons,4428.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,12886.000,Tons,0,,0,,0,
392,Japan,170,Colombia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,
392,Japan,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,
392,Japan,222,El Salvador,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,18.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,13.000,Tons,0,,0,,2.000,Tons,1.000,Tons,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
392,Japan,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,14.000,Tons,1.000,Tons,0,,0.000,Tons,79174.000,Tons,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0.000,Tons,0.000,Tons
392,Japan,404,Kenya,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,81516.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
